What is the average central corneal thickness? ||| About 540 micrometers
What is the laser treatment for proliferative diabetic retinopathy? (A) simultaneous (B) Accommodative (C) Sturm (D) Panretinal photocoagulation ||| D
What is the laser treatment for proliferative diabetic retinopathy? (A) jaw claudication (B) 2.00 (C) granuloma (D) Panretinal photocoagulation ||| D
True or false: Panretinal photocoagulation treats proliferative diabetic retinopathy. ||| true
True or false: Fatigable photocoagulation treats proliferative diabetic retinopathy. ||| false
Fill in the blank: ____ photocoagulation treats proliferative diabetic retinopathy. ||| Panretinal
How often should a diabetic patient have a dilated eye exam? ||| At least once every year
Quick question: how often should a diabetic patient have a dilated eye exam? ||| At least once every year
Exam prep: how often should a diabetic patient have a dilated eye exam? ||| At least once every year
How often should a diabetic patient have a dilated eye exam? (A) angle (B) rod-cone (C) At least once every year (D) doubled ||| C
How often should a diabetic patient have a dilated eye exam? (A) MiSight (B) At least once every year (C) phenylephrine (D) Anti-VEGF ||| B
True or false: Diabetic patients need a dilated exam at least yearly. ||| true
True or false: Diabetic patients need a dilated exam at least MiSightly. ||| false
Fill in the blank: Diabetic patients need a dilated exam at least ____ly. ||| year
What is clinically significant diabetic macular edema treated with? ||| Anti-VEGF injections or focal laser
Quick question: what is clinically significant diabetic macular edema treated with? ||| Anti-VEGF injections or focal laser
Exam prep: what is clinically significant diabetic macular edema treated with? ||| Anti-VEGF injections or focal laser
What is clinically significant diabetic macular edema treated with? (A) Proparacaine (B) Painful (C) eyelid margins (D) Anti-VEGF injections or focal laser ||| D
What is clinically significant diabetic macular edema treated with? (A) Anti-VEGF injections or focal laser (B) Ring scotoma (C) Vertical prism (D) Viral ||| A
True or false: CSME is treated with anti-VEGF or focal laser. ||| true
True or false: CSME is treated with phagocytoses or focal laser. ||| false
Fill in the blank: CSME is treated with ____ or focal laser. ||| Anti-VEGF
Which retinal sign suggests hypertensive retinopathy? ||| Arteriovenous nicking and cotton wool spots
Quick question: which retinal sign suggests hypertensive retinopathy? ||| Arteriovenous nicking and cotton wool spots
Exam prep: which retinal sign suggests hypertensive retinopathy? ||| Arteriovenous nicking and cotton wool spots
Which retinal sign suggests hypertensive retinopathy? (A) rotate up (B) -2.25 (C) anti-VEGF (D) Arteriovenous nicking and cotton wool spots ||| D
Which retinal sign suggests hypertensive retinopathy? (A) Arteriovenous nicking and cotton wool spots (B) AREDS2 (C) nasolacrimal duct (D) Biconvex ||| A
True or false: AV nicking and cotton wool spots mark hypertensive retinopathy. ||| true
True or false: AV Cerulean and cotton wool spots mark hypertensive retinopathy. ||| false
Fill in the blank: AV ____ and cotton wool spots mark hypertensive retinopathy. ||| nicking
What is a cotton wool spot? ||| A nerve fiber layer infarction from microvascular occlusion
Quick question: what is a cotton wool spot? ||| A nerve fiber layer infarction from microvascular occlusion
Exam prep: what is a cotton wool spot? ||| A nerve fiber layer infarction from microvascular occlusion
What is a cotton wool spot? (A) A nerve fiber layer infarction from microvascular occlusion (B) Dorzolamide (C) phagocytoses (D) neuroimaging ||| A
What is a cotton wool spot? (A) Extorsion (B) tropia (C) Atropine (D) A nerve fiber layer infarction from microvascular occlusion ||| D
True or false: A cotton wool spot is a nerve fiber layer infarct. ||| true
What are the symptoms of a retinal detachment? ||| Flashes, floaters, and a curtain over the visual field
Quick question: what are the symptoms of a retinal detachment? ||| Flashes, floaters, and a curtain over the visual field
Exam prep: what are the symptoms of a retinal detachment? ||| Flashes, floaters, and a curtain over the visual field
What are the symptoms of a retinal detachment? (A) lipofuscin (B) vergence (C) Flashes, floaters, and a curtain over the visual field (D) neuroimaging ||| C
What are the symptoms of a retinal detachment? (A) cone density (B) Flashes, floaters, and a curtain over the visual field (C) 1.498 (D) phenylephrine ||| B
True or false: Retinal detachment causes flashes, floaters, and a curtain shade. ||| true
True or false: Retinal detachment causes flashes, floaters, and a Monocular shade. ||| false
Fill in the blank: Retinal detachment causes flashes, floaters, and a ____ shade. ||| curtain
Which peripheral lesion predisposes to retinal detachment? ||| Lattice degeneration
Quick question: which peripheral lesion predisposes to retinal detachment? ||| Lattice degeneration
Exam prep: which peripheral lesion predisposes to retinal detachment? ||| Lattice degeneration
Which peripheral lesion predisposes to retinal detachment? (A) Lattice degeneration (B) Cataract (C) under-minused (D) 0.0 ||| A
Which peripheral lesion predisposes to retinal detachment? (A) Monocular (B) Lattice degeneration (C) Ectropion (D) retraction ||| B
True or false: Lattice degeneration predisposes to retinal tears. ||| true
True or false: doubled degeneration predisposes to retinal tears. ||| false
Fill in the blank: ____ degeneration predisposes to retinal tears. ||| Lattice
What is the emergency presentation of central retinal artery occlusion? ||| Sudden painless vision loss with a cherry red spot
Quick question: what is the emergency presentation of central retinal artery occlusion? ||| Sudden painless vision loss with a cherry red spot
Exam prep: what is the emergency presentation of central retinal artery occlusion? ||| Sudden painless vision loss with a cherry red spot
What is the emergency presentation of central retinal artery occlusion? (A) cold compresses (B) One day (C) Sudden painless vision loss with a cherry red spot (D) 2.50 ||| C
What is the emergency presentation of central retinal artery occlusion? (A) Sudden painless vision loss with a cherry red spot (B) Vogt (C) neuroimaging (D) Cortical ||| A
True or false: CRAO shows sudden painless loss with a cherry red spot. ||| true
True or false: CRAO shows sudden painless loss with a 3.88 spot. ||| false
Fill in the blank: CRAO shows sudden painless loss with a ____ spot. ||| cherry red
What is the classic fundus sign of central retinal vein occlusion? ||| Diffuse flame hemorrhages described as blood and thunder
Quick question: what is the classic fundus sign of central retinal vein occlusion? ||| Diffuse flame hemorrhages described as blood and thunder
Exam prep: what is the classic fundus sign of central retinal vein occlusion? ||| Diffuse flame hemorrhages described as blood and thunder
What is the classic fundus sign of central retinal vein occlusion? (A) Diffuse flame hemorrhages described as blood and thunder (B) hyperopia (C) Inferior rectus (D) deposits ||| A
What is the classic fundus sign of central retinal vein occlusion? (A) Diffuse flame hemorrhages described as blood and thunder (B) Prostaglandin (C) zonules (D) +2.50 ||| A
True or false: CRVO gives widespread flame hemorrhages, the blood and thunder fundus. ||| true
True or false: CRVO gives widespread Vogt hemorrhages, the blood and thunder fundus. ||| false
Fill in the blank: CRVO gives widespread ____ hemorrhages, the blood and thunder fundus. ||| flame
Which is the most common cause of red eye worldwide? ||| Viral conjunctivitis
Quick question: which is the most common cause of red eye worldwide? ||| Viral conjunctivitis
Exam prep: which is the most common cause of red eye worldwide? ||| Viral conjunctivitis
Which is the most common cause of red eye worldwide? (A) painless (B) Lattice (C) Viral conjunctivitis (D) Abduction ||| C
Which is the most common cause of red eye worldwide? (A) Red (B) Viral conjunctivitis (C) olopatadine (D) Vitamin A ||| B
True or false: Viral conjunctivitis is the most common red eye cause. ||| true
True or false: granuloma conjunctivitis is the most common red eye cause. ||| false
Fill in the blank: ____ conjunctivitis is the most common red eye cause. ||| Viral
Which sign suggests viral rather than bacterial conjunctivitis? ||| Watery discharge with a preauricular lymph node
Quick question: which sign suggests viral rather than bacterial conjunctivitis? ||| Watery discharge with a preauricular lymph node
Exam prep: which sign suggests viral rather than bacterial conjunctivitis? ||| Watery discharge with a preauricular lymph node
Which sign suggests viral rather than bacterial conjunctivitis? (A) Elevation (B) worsen (C) Watery discharge with a preauricular lymph node (D) phagocytoses ||| C
Which sign suggests viral rather than bacterial conjunctivitis? (A) lipid (B) painless (C) Atropine (D) Watery discharge with a preauricular lymph node ||| D
True or false: Watery discharge plus a preauricular node suggests viral conjunctivitis. ||| true
True or false: Watery discharge plus a reflex node suggests viral conjunctivitis. ||| false
Fill in the blank: Watery discharge plus a ____ node suggests viral conjunctivitis. ||| preauricular
Which finding suggests bacterial conjunctivitis? ||| Purulent discharge with lids stuck shut in the morning
Quick question: which finding suggests bacterial conjunctivitis? ||| Purulent discharge with lids stuck shut in the morning
Exam prep: which finding suggests bacterial conjunctivitis? ||| Purulent discharge with lids stuck shut in the morning
Which finding suggests bacterial conjunctivitis? (A) Spectacle power (B) Office based (C) Purulent discharge with lids stuck shut in the morning (D) dendritic ||| C
Which finding suggests bacterial conjunctivitis? (A) Cataract (B) Purulent discharge with lids stuck shut in the morning (C) Fleischer (D) white cell ||| B
True or false: Purulent discharge points to bacterial conjunctivitis. ||| true
True or false: myopic discharge points to bacterial conjunctivitis. ||| false
Fill in the blank: ____ discharge points to bacterial conjunctivitis. ||| Purulent
What is the hallmark symptom of allergic conjunctivitis? ||| Itching
Quick question: what is the hallmark symptom of allergic conjunctivitis? ||| Itching
Exam prep: what is the hallmark symptom of allergic conjunctivitis? ||| Itching
What is the hallmark symptom of allergic conjunctivitis? (A) Posterior subcapsular (B) Itching (C) 2.5 (D) Ring scotoma ||| B
What is the hallmark symptom of allergic conjunctivitis? (A) Itching (B) papules (C) jaw claudication (D) orbicularis oculi ||| A
True or false: Itching is the hallmark of allergic conjunctivitis. ||| true
True or false: optic nerve is the hallmark of allergic conjunctivitis. ||| false
Fill in the blank: ____ is the hallmark of allergic conjunctivitis. ||| Itching
Which conjunctival reaction suggests allergy? ||| Papillae with a cobblestone appearance
Quick question: which conjunctival reaction suggests allergy? ||| Papillae with a cobblestone appearance
Exam prep: which conjunctival reaction suggests allergy? ||| Papillae with a cobblestone appearance
Which conjunctival reaction suggests allergy? (A) 4 to 6 (B) Axis (C) Papillae with a cobblestone appearance (D) levator ||| C
Which conjunctival reaction suggests allergy? (A) back central (B) CN III (C) Papillae with a cobblestone appearance (D) levator ||| C
True or false: Cobblestone papillae indicate allergic reaction. ||| true
True or false: Cobblestone dendritic indicate allergic reaction. ||| false
Fill in the blank: Cobblestone ____ indicate allergic reaction. ||| Papillae
Which sign distinguishes limbal vernal keratoconjunctivitis? ||| Horner-Trantas dots
Quick question: which sign distinguishes limbal vernal keratoconjunctivitis? ||| Horner-Trantas dots
Exam prep: which sign distinguishes limbal vernal keratoconjunctivitis? ||| Horner-Trantas dots
Which sign distinguishes limbal vernal keratoconjunctivitis? (A) Horner-Trantas dots (B) media opacity (C) Contact lenses (D) Ganciclovir ||| A
Which sign distinguishes limbal vernal keratoconjunctivitis? (A) 2.5 (B) eyelid margins (C) Horner-Trantas dots (D) sulfa ||| C
True or false: Horner-Trantas dots mark limbal vernal keratoconjunctivitis. ||| true
True or false: Horner-lipid dots mark limbal vernal keratoconjunctivitis. ||| false
Fill in the blank: Horner-____ dots mark limbal vernal keratoconjunctivitis. ||| Trantas
What is blepharitis? ||| Chronic inflammation of the eyelid margins
Quick question: what is blepharitis? ||| Chronic inflammation of the eyelid margins
Exam prep: what is blepharitis? ||| Chronic inflammation of the eyelid margins
What is blepharitis? (A) Ten (B) opacity (C) Chronic inflammation of the eyelid margins (D) Microaneurysms ||| C
What is blepharitis? (A) rigidity (B) Chronic inflammation of the eyelid margins (C) power factor (D) Accommodative ||| B
True or false: Blepharitis is chronic inflammation of the lid margins. ||| true
What is a hordeolum? ||| An acute staphylococcal abscess of a gland in the eyelid
Quick question: what is a hordeolum? ||| An acute staphylococcal abscess of a gland in the eyelid
Exam prep: what is a hordeolum? ||| An acute staphylococcal abscess of a gland in the eyelid
What is a hordeolum? (A) Six (B) 3,500 (C) red (D) An acute staphylococcal abscess of a gland in the eyelid ||| D
What is a hordeolum? (A) An acute staphylococcal abscess of a gland in the eyelid (B) Office based (C) before 6 months (D) myopic ||| A
True or false: A hordeolum is an acute lid gland abscess. ||| true
True or false: A hordeolum is an acute lid gland 0.57. ||| false
Fill in the blank: A hordeolum is an acute lid gland ____. ||| abscess
What is a chalazion? ||| A chronic sterile granuloma of a meibomian gland
Quick question: what is a chalazion? ||| A chronic sterile granuloma of a meibomian gland
Exam prep: what is a chalazion? ||| A chronic sterile granuloma of a meibomian gland
What is a chalazion? (A) A chronic sterile granuloma of a meibomian gland (B) infarction (C) Refractive (D) Galactosemia ||| A
What is a chalazion? (A) Anti-VEGF (B) Contrast (C) Conjunctivochalasis (D) A chronic sterile granuloma of a meibomian gland ||| D
True or false: A chalazion is a chronic sterile meibomian granuloma. ||| true
True or false: A chalazion is a chronic sterile meibomian canal of Schlemm. ||| false
Fill in the blank: A chalazion is a chronic sterile meibomian ____. ||| granuloma
Which sign is classic for herpetic dendritic keratitis? ||| A branching dendritic corneal ulcer that stains with fluorescein
Quick question: which sign is classic for herpetic dendritic keratitis? ||| A branching dendritic corneal ulcer that stains with fluorescein
Exam prep: which sign is classic for herpetic dendritic keratitis? ||| A branching dendritic corneal ulcer that stains with fluorescein
Which sign is classic for herpetic dendritic keratitis? (A) yellowish (B) Rheumatoid (C) A branching dendritic corneal ulcer that stains with fluorescein (D) year ||| C
Which sign is classic for herpetic dendritic keratitis? (A) Dissociated vertical (B) 20/20 (C) A branching dendritic corneal ulcer that stains with fluorescein (D) yellowish ||| C
True or false: HSV keratitis stains as a branching dendritic ulcer. ||| true
True or false: HSV keratitis stains as a branching 3 percent ulcer. ||| false
Fill in the blank: HSV keratitis stains as a branching ____ ulcer. ||| dendritic
Why must steroids be avoided alone in dendritic keratitis? ||| They worsen replicating herpes simplex epithelial infection
Quick question: why must steroids be avoided alone in dendritic keratitis? ||| They worsen replicating herpes simplex epithelial infection
Exam prep: why must steroids be avoided alone in dendritic keratitis? ||| They worsen replicating herpes simplex epithelial infection
Why must steroids be avoided alone in dendritic keratitis? (A) CN V1 (B) meridians (C) They worsen replicating herpes simplex epithelial infection (D) Misdirected ||| C
Why must steroids be avoided alone in dendritic keratitis? (A) They worsen replicating herpes simplex epithelial infection (B) 1.2 million (C) atopy (D) trabecular meshwork ||| A
True or false: Steroids alone worsen epithelial herpes simplex keratitis. ||| true
True or false: Steroids alone wing epithelial herpes simplex keratitis. ||| false
Fill in the blank: Steroids alone ____ epithelial herpes simplex keratitis. ||| worsen
What is keratoconus? ||| A progressive thinning and cone-like ectasia of the cornea
Quick question: what is keratoconus? ||| A progressive thinning and cone-like ectasia of the cornea
Exam prep: what is keratoconus? ||| A progressive thinning and cone-like ectasia of the cornea
What is keratoconus? (A) plus (B) Angle depth (C) Dissociated vertical (D) A progressive thinning and cone-like ectasia of the cornea ||| D
What is keratoconus? (A) over-minusing (B) fusion (C) A progressive thinning and cone-like ectasia of the cornea (D) angle ||| C
True or false: Keratoconus is progressive cone-like corneal ectasia. ||| true
True or false: Keratoconus is progressive cone-like corneal 0.02. ||| false
Fill in the blank: Keratoconus is progressive cone-like corneal ____. ||| ectasia
Which corneal iron line is seen in keratoconus? ||| The Fleischer ring
Quick question: which corneal iron line is seen in keratoconus? ||| The Fleischer ring
Exam prep: which corneal iron line is seen in keratoconus? ||| The Fleischer ring
Which corneal iron line is seen in keratoconus? (A) The Fleischer ring (B) 15 to 20 (C) salmon patch (D) Anti-VEGF ||| A
Which corneal iron line is seen in keratoconus? (A) 1.498 (B) bone spicule (C) fusion (D) The Fleischer ring ||| D
True or false: Keratoconus shows a Fleischer iron ring at the cone base. ||| true
True or false: Keratoconus shows a probe iron ring at the cone base. ||| false
Fill in the blank: Keratoconus shows a ____ iron ring at the cone base. ||| Fleischer
Which vertical stromal stress lines appear in keratoconus? ||| Vogt's striae
Quick question: which vertical stromal stress lines appear in keratoconus? ||| Vogt's striae
Exam prep: which vertical stromal stress lines appear in keratoconus? ||| Vogt's striae
Which vertical stromal stress lines appear in keratoconus? (A) choroid (B) Trantas (C) zonules (D) Vogt's striae ||| D
Which vertical stromal stress lines appear in keratoconus? (A) 2 to 6 (B) media opacity (C) behind (D) Vogt's striae ||| D
True or false: Vogt's striae are vertical stress lines in keratoconus. ||| true
True or false: 6.5's striae are vertical stress lines in keratoconus. ||| false
Fill in the blank: ____'s striae are vertical stress lines in keratoconus. ||| Vogt
Which procedure slows keratoconus progression? ||| Corneal collagen cross-linking
Quick question: which procedure slows keratoconus progression? ||| Corneal collagen cross-linking
Exam prep: which procedure slows keratoconus progression? ||| Corneal collagen cross-linking
Which procedure slows keratoconus progression? (A) Blepharophimosis (B) RGP (C) iridotomy (D) Corneal collagen cross-linking ||| D
Which procedure slows keratoconus progression? (A) Thin (B) zonular (C) trabecular meshwork (D) Corneal collagen cross-linking ||| D
True or false: Collagen cross-linking halts keratoconus progression. ||| true
True or false: Collagen Muller halts keratoconus progression. ||| false
Fill in the blank: Collagen ____ halts keratoconus progression. ||| cross-linking
What is a pterygium? ||| A fibrovascular wing of conjunctiva growing onto the cornea
Quick question: what is a pterygium? ||| A fibrovascular wing of conjunctiva growing onto the cornea
Exam prep: what is a pterygium? ||| A fibrovascular wing of conjunctiva growing onto the cornea
What is a pterygium? (A) A fibrovascular wing of conjunctiva growing onto the cornea (B) Angle depth (C) 2 to 6 (D) lid lag ||| A
What is a pterygium? (A) rounds (B) A fibrovascular wing of conjunctiva growing onto the cornea (C) Vogt (D) pain on eye movement ||| B
True or false: A pterygium is a fibrovascular wing crossing onto the cornea. ||| true
True or false: A pterygium is a fibrovascular Cones crossing onto the cornea. ||| false
Fill in the blank: A pterygium is a fibrovascular ____ crossing onto the cornea. ||| wing
What is a pinguecula? ||| A yellowish elevated conjunctival deposit near the limbus
Quick question: what is a pinguecula? ||| A yellowish elevated conjunctival deposit near the limbus
Exam prep: what is a pinguecula? ||| A yellowish elevated conjunctival deposit near the limbus
What is a pinguecula? (A) A yellowish elevated conjunctival deposit near the limbus (B) zonules (C) atopy (D) phagocytoses ||| A
What is a pinguecula? (A) CN III (B) Scleral (C) A yellowish elevated conjunctival deposit near the limbus (D) normal range ||| C
True or false: A pinguecula is a yellowish limbal conjunctival deposit. ||| true
True or false: A pinguecula is a over-minusing limbal conjunctival deposit. ||| false
Fill in the blank: A pinguecula is a ____ limbal conjunctival deposit. ||| yellowish
What is anterior uveitis? ||| Inflammation of the iris and ciliary body
Quick question: what is anterior uveitis? ||| Inflammation of the iris and ciliary body
Exam prep: what is anterior uveitis? ||| Inflammation of the iris and ciliary body
What is anterior uveitis? (A) Inflammation of the iris and ciliary body (B) Retinoscopy (C) iris (D) under-minused ||| A
What is anterior uveitis? (A) opacities (B) Inflammation of the iris and ciliary body (C) Itching (D) orbicularis oculi ||| B
True or false: Anterior uveitis inflames iris and ciliary body. ||| true
True or false: Anterior uveitis inflames High contrast and ciliary body. ||| false
Fill in the blank: Anterior uveitis inflames ____ and ciliary body. ||| iris
Which red eye pattern suggests anterior uveitis rather than conjunctivitis? ||| Ciliary flush with photophobia and deep ache
Quick question: which red eye pattern suggests anterior uveitis rather than conjunctivitis? ||| Ciliary flush with photophobia and deep ache
Exam prep: which red eye pattern suggests anterior uveitis rather than conjunctivitis? ||| Ciliary flush with photophobia and deep ache
Which red eye pattern suggests anterior uveitis rather than conjunctivitis? (A) white cell (B) Ciliary flush with photophobia and deep ache (C) Axis (D) correction ||| B
Which red eye pattern suggests anterior uveitis rather than conjunctivitis? (A) Ciliary flush with photophobia and deep ache (B) vertical imbalance (C) Red (D) Sturm ||| A
True or false: Ciliary flush with photophobia suggests uveitis. ||| true
True or false: avascular with photophobia suggests uveitis. ||| false
Fill in the blank: ____ with photophobia suggests uveitis. ||| Ciliary flush
What cells does the slit lamp show in active anterior uveitis? ||| White blood cells and flare in the anterior chamber
Quick question: what cells does the slit lamp show in active anterior uveitis? ||| White blood cells and flare in the anterior chamber
Exam prep: what cells does the slit lamp show in active anterior uveitis? ||| White blood cells and flare in the anterior chamber
What cells does the slit lamp show in active anterior uveitis? (A) reflex (B) White blood cells and flare in the anterior chamber (C) lipofuscin (D) shallow ||| B
What cells does the slit lamp show in active anterior uveitis? (A) eyelid margins (B) AREDS2 (C) Vertical prism (D) White blood cells and flare in the anterior chamber ||| D
True or false: Anterior chamber cells and flare mark active uveitis. ||| true
True or false: Anterior chamber cells and Cerulean mark active uveitis. ||| false
Fill in the blank: Anterior chamber cells and ____ mark active uveitis. ||| flare
What is episcleritis? ||| A benign sectoral inflammation of the episclera that blanches with phenylephrine
Quick question: what is episcleritis? ||| A benign sectoral inflammation of the episclera that blanches with phenylephrine
Exam prep: what is episcleritis? ||| A benign sectoral inflammation of the episclera that blanches with phenylephrine
What is episcleritis? (A) Sherrington (B) A benign sectoral inflammation of the episclera that blanches with phenylephrine (C) shallow (D) hyperopia ||| B
What is episcleritis? (A) lipofuscin (B) Descemet's membrane (C) CN V1 (D) A benign sectoral inflammation of the episclera that blanches with phenylephrine ||| D
True or false: Episcleritis is benign sectoral inflammation that blanches with phenylephrine. ||| true
True or false: Episcleritis is benign sectoral inflammation that blanches with Asthmatics. ||| false
Fill in the blank: Episcleritis is benign sectoral inflammation that blanches with ____. ||| phenylephrine
Which red eye is painful and does NOT blanch with phenylephrine? ||| Scleritis
Quick question: which red eye is painful and does NOT blanch with phenylephrine? ||| Scleritis
Exam prep: which red eye is painful and does NOT blanch with phenylephrine? ||| Scleritis
Which red eye is painful and does NOT blanch with phenylephrine? (A) Prostaglandin (B) cross (C) Scleritis (D) cone density ||| C
Which red eye is painful and does NOT blanch with phenylephrine? (A) pain on eye movement (B) Itching (C) Scleritis (D) 2.50 ||| C
True or false: Scleritis is painful deep inflammation that does not blanch. ||| true
True or false: skin is painful deep inflammation that does not blanch. ||| false
Fill in the blank: ____ is painful deep inflammation that does not blanch. ||| Scleritis
Which systemic disease is scleritis associated with? ||| Rheumatoid arthritis
Quick question: which systemic disease is scleritis associated with? ||| Rheumatoid arthritis
Exam prep: which systemic disease is scleritis associated with? ||| Rheumatoid arthritis
Which systemic disease is scleritis associated with? (A) Accommodative (B) 0.57 (C) Rheumatoid arthritis (D) Misdirected ||| C
Which systemic disease is scleritis associated with? (A) salmon patch (B) dilator (C) trabecular meshwork (D) Rheumatoid arthritis ||| D
True or false: Scleritis is often linked to rheumatoid arthritis. ||| true
True or false: Scleritis is often linked to Elevation arthritis. ||| false
Fill in the blank: Scleritis is often linked to ____ arthritis. ||| Rheumatoid
What is dry eye disease also called? ||| Keratoconjunctivitis sicca
Quick question: what is dry eye disease also called? ||| Keratoconjunctivitis sicca
Exam prep: what is dry eye disease also called? ||| Keratoconjunctivitis sicca
What is dry eye disease also called? (A) cherry red (B) Keratoconjunctivitis sicca (C) Vitamin A (D) neuroimaging ||| B
What is dry eye disease also called? (A) Abduction (B) 5.5 (C) Keratoconjunctivitis sicca (D) yellowish ||| C
True or false: Dry eye disease is keratoconjunctivitis sicca. ||| true
True or false: Dry eye disease is keratoconjunctivitis Hering. ||| false
Fill in the blank: Dry eye disease is keratoconjunctivitis ____. ||| sicca
What does a tear break-up time below 10 seconds indicate? ||| Tear film instability
Quick question: what does a tear break-up time below 10 seconds indicate? ||| Tear film instability
Exam prep: what does a tear break-up time below 10 seconds indicate? ||| Tear film instability
What does a tear break-up time below 10 seconds indicate? (A) probe (B) Tear film instability (C) Trantas (D) skin ||| B
What does a tear break-up time below 10 seconds indicate? (A) Viral (B) 2 to 6 (C) Tear film instability (D) preauricular ||| C
True or false: TBUT under 10 seconds signals tear film instability. ||| true
True or false: TBUT under 10 seconds signals tear film phenylephrine. ||| false
Fill in the blank: TBUT under 10 seconds signals tear film ____. ||| instability
What Schirmer result indicates severe aqueous deficiency? ||| Less than 5 millimeters of wetting in 5 minutes
Quick question: what Schirmer result indicates severe aqueous deficiency? ||| Less than 5 millimeters of wetting in 5 minutes
Exam prep: what Schirmer result indicates severe aqueous deficiency? ||| Less than 5 millimeters of wetting in 5 minutes
What Schirmer result indicates severe aqueous deficiency? (A) Papillae (B) Less than 5 millimeters of wetting in 5 minutes (C) task lighting (D) tear layer ||| B
What Schirmer result indicates severe aqueous deficiency? (A) salmon patch (B) steep (C) lipid (D) Less than 5 millimeters of wetting in 5 minutes ||| D
True or false: Schirmer wetting under 5 millimeters means severe aqueous deficiency. ||| true
True or false: Schirmer wetting under 30 to 60 millimeters means severe aqueous deficiency. ||| false
Fill in the blank: Schirmer wetting under ____ millimeters means severe aqueous deficiency. ||| 5
Which stain marks devitalized cells and mucin in dry eye? ||| Lissamine green
Quick question: which stain marks devitalized cells and mucin in dry eye? ||| Lissamine green
Exam prep: which stain marks devitalized cells and mucin in dry eye? ||| Lissamine green
Which stain marks devitalized cells and mucin in dry eye? (A) Lissamine green (B) Descemet's membrane (C) Glaucoma (D) Neovascularization ||| A
Which stain marks devitalized cells and mucin in dry eye? (A) 2.50 (B) difference (C) Lissamine green (D) Base-down ||| C
True or false: Lissamine green stains devitalized cells and mucus. ||| true
True or false: retraction green stains devitalized cells and mucus. ||| false
Fill in the blank: ____ green stains devitalized cells and mucus. ||| Lissamine
Which vitamin deficiency causes night blindness and Bitot spots? ||| Vitamin A
Quick question: which vitamin deficiency causes night blindness and Bitot spots? ||| Vitamin A
Exam prep: which vitamin deficiency causes night blindness and Bitot spots? ||| Vitamin A
Which vitamin deficiency causes night blindness and Bitot spots? (A) Epicanthal (B) zonular (C) Vitamin A (D) 3,500 ||| C
Which vitamin deficiency causes night blindness and Bitot spots? (A) Aspirin (B) Apraclonidine (C) Descemet's membrane (D) Vitamin A ||| D
True or false: Vitamin A deficiency causes night blindness and Bitot spots. ||| true
True or false: Latanoprost deficiency causes night blindness and Bitot spots. ||| false
Fill in the blank: ____ deficiency causes night blindness and Bitot spots. ||| Vitamin A
What is retinitis pigmentosa? ||| An inherited rod-cone degeneration with night blindness and tunnel vision
Quick question: what is retinitis pigmentosa? ||| An inherited rod-cone degeneration with night blindness and tunnel vision
Exam prep: what is retinitis pigmentosa? ||| An inherited rod-cone degeneration with night blindness and tunnel vision
What is retinitis pigmentosa? (A) field of view (B) An inherited rod-cone degeneration with night blindness and tunnel vision (C) Scleritis (D) edge lift ||| B
What is retinitis pigmentosa? (A) phenylephrine (B) Tropicamide (C) An inherited rod-cone degeneration with night blindness and tunnel vision (D) white cell ||| C
True or false: Retinitis pigmentosa is an inherited rod-cone degeneration. ||| true
True or false: Retinitis pigmentosa is an inherited 8 to 12 degeneration. ||| false
Fill in the blank: Retinitis pigmentosa is an inherited ____ degeneration. ||| rod-cone
Which bone spicule pattern is classic in retinitis pigmentosa? ||| Mid-peripheral bone spicule pigmentation
Quick question: which bone spicule pattern is classic in retinitis pigmentosa? ||| Mid-peripheral bone spicule pigmentation
Exam prep: which bone spicule pattern is classic in retinitis pigmentosa? ||| Mid-peripheral bone spicule pigmentation
Which bone spicule pattern is classic in retinitis pigmentosa? (A) difference (B) Viral (C) Mid-peripheral bone spicule pigmentation (D) vertex ||| C
Which bone spicule pattern is classic in retinitis pigmentosa? (A) zonules (B) Mid-peripheral bone spicule pigmentation (C) Retinoscopy (D) fourth nerve ||| B
True or false: Bone spicule pigment clumps typify retinitis pigmentosa. ||| true
True or false: 15 to 20 pigment clumps typify retinitis pigmentosa. ||| false
Fill in the blank: ____ pigment clumps typify retinitis pigmentosa. ||| bone spicule
What is an ocular migraine aura? ||| A spreading scintillating scotoma usually lasting under an hour
Quick question: what is an ocular migraine aura? ||| A spreading scintillating scotoma usually lasting under an hour
Exam prep: what is an ocular migraine aura? ||| A spreading scintillating scotoma usually lasting under an hour
What is an ocular migraine aura? (A) cold compresses (B) A spreading scintillating scotoma usually lasting under an hour (C) Graves (D) tropia ||| B
What is an ocular migraine aura? (A) 6 to 10 (B) Arteriolar (C) A spreading scintillating scotoma usually lasting under an hour (D) Tilt ||| C
True or false: Migraine aura is a spreading scintillating scotoma under an hour. ||| true
True or false: Migraine aura is a spreading 1.65 scotoma under an hour. ||| false
Fill in the blank: Migraine aura is a spreading ____ scotoma under an hour. ||| scintillating
Which lab test tracks giant cell arteritis inflammation? ||| ESR and CRP
Quick question: which lab test tracks giant cell arteritis inflammation? ||| ESR and CRP
Exam prep: which lab test tracks giant cell arteritis inflammation? ||| ESR and CRP
Which lab test tracks giant cell arteritis inflammation? (A) ESR and CRP (B) regular collagen lattice (C) rounds (D) Contrast ||| A
Which lab test tracks giant cell arteritis inflammation? (A) worsen (B) Panretinal (C) Itching (D) ESR and CRP ||| D
True or false: ESR and CRP track giant cell arteritis. ||| true
True or false: no photoreceptors and CRP track giant cell arteritis. ||| false
